ColonySite_rm,ext,agriculture,riparian,disttograss,burrowssite
144.9R,1,18261.993,56127.937,208.103,40
145.2L,1,0,77123.815,165.702,30
145.4R,1,30392.57,40499.805,562.172,260
145.6L,0,43343.643,23082.251,486.217,70
145.6L,1,35553.477,23778.289,457.945,170
146.4L,1,0,46373.831,108.482,80
147.0R,1,2027.303,12409.773,453.391,850
147.2L,1,35829.505,16256.066,210.736,180
154.0L,1,10764.214,34999.268,22.188,100
155.7R,0,0.245,43005.352,92.493,200
155.7R,1,575.456,53878.001,138.959,110
156.0R,0,241.371,29413.811,11.955,520
156.0R,0,0,21969.874,15.488,100
156.1L,1,363.647,56208.019,215.326,90
156.5L,1,0,30995.253,16.534,1270
156.8L,1,59914.732,9009.106,180.337,70
157.0R,1,664.573,53527.813,129.704,420
157.6L,1,12248.984,34703.356,1134.162,100
162.1R,0,0,68899.568,317.624,240
162.1R,0,0,69603.53,292.305,60
162.7L,0,6438.691,30981.446,169.742,450
162.7L,1,3390.862,28288.801,148.2,40
165.2L,1,55776.957,0,186.603,970
165.51L,1,66161.863,2723.424,284.72,770
166.4R,1,0,75840.547,225.748,390
167.2L,1,34506.241,23516.547,291.619,90
168.8L,1,26681.032,16356.44,216.063,40
169.6R,1,13412.022,43970.169,194.719,50
171.4R,1,115285.63,0,401.221,160
172.0L,0,0,36447.462,12.866,270
172.0L,0,0,33605.727,24.885,940
173.51R,1,46434.801,11431.765,289.651,1420
173.52R,1,116999.929,8026.759,643.345,690
173.8R,1,0,51000.584,138.945,160
174.2L,1,48865.992,1120.803,323.234,160
174.2R,1,30631.761,32258.77,230.279,230
175.5L,0,0,43065.293,19.691,60
181.4R,1,36416.626,32070.845,388.342,640
182.5L,0,0,35487.382,60.795,1670
182.5L,0,0,29293.85,29.612,580
183.9R,1,41928.212,27689.595,161.755,60
185.01R,1,0,54244.959,128.783,250
185.02R,1,0,60305.618,76.722,270
185.11L,1,125026.688,0,847.07,290
185.12L,0,62952.877,0,334.804,480
189.8R,0,41188.878,22450.237,284.179,1260
189.8R,0,20473.361,22139.434,243.533,1660
192.0L,0,0,52096.945,8.653,430
192.0L,1,0,55704.791,16.612,280
193.0R,0,12868.909,46769.936,90.625,340
193.0R,0,12868.909,46769.936,90.625,50
195.0R,0,58574.516,3617.747,223.452,40
195.2L,0,0,70971.536,1.307,900
195.2L,1,0,67298.439,7.664,250
203.0L,1,4566.754,40211.351,18.08,130
205.5R,0,3018.275,33809.145,13.848,50
205.5R,0,3018.275,33809.145,13.848,190
211.4R,0,0,16820.034,37.275,230
211.4R,1,0,15910.083,35.86,620
212.0L,0,63682.666,10620.994,581.467,1800
212.0L,0,61478.929,9952.613,588.238,1190
219.8R,1,0,25764.731,1.722,130
221.4L,0,61810.811,6361.217,379.317,1350
221.4L,0,57880.458,4862.052,372.06,1450
226.0L,0,0,71684.432,9.363,50
226.0L,1,0,71684.432,9.363,240
227.0L,1,51854.664,4720.415,254.148,300
227.8L,0,56685.748,13370.287,241.832,110
227.8L,1,52902.995,17403.411,245.975,40
231.8L,1,38436.411,28535.449,608.477,50
232.0L,1,57580.193,15992.502,363.94,50
232.8R,0,84320.002,0,287.117,1730
232.8R,0,84275.834,0,288.168,1720
233.4L,1,7518.015,60400.77,9.24,420
233.8L,1,56778.475,14458.758,251.555,560
235.01R,1,22960.578,38005.983,7.009,110
235.02R,0,0,8084.112,9.374,520
236.4R,0,0,36261.384,7.405,670
236.5R,1,0,37978.545,15.464,150
239.2R,0,15.534,29053.435,12.09,90
241.8L,0,58321.297,8528.125,249.087,70
