Year,Date,Day,Site,Fenders,Silvery
2013,25-Apr-13,25,A,0,6
2013,25-Apr-13,25,B,0,4
2013,25-Apr-13,25,C,0,12
2013,25-Apr-13,25,D,0,5
2013,3-May-13,33,A,2,6
2013,3-May-13,33,B,2,6
2013,3-May-13,33,C,13,6
2013,3-May-13,33,D,2,16
2013,14-May-13,44,A,8,3
2013,14-May-13,44,B,3,4
2013,14-May-13,44,C,8,7
2013,14-May-13,44,D,4,3
2013,20-May-13,50,A,6,1
2013,20-May-13,50,B,2,7
2013,20-May-13,50,C,2,2
2013,20-May-13,50,D,2,1
2013,31-May-13,61,A,5,0
2013,31-May-13,61,B,2,0
2013,31-May-13,61,C,10,1
2013,31-May-13,61,D,2,2
