Taxon,PCT,NumBees
LATE,0.45,0
LATE,0.68,0
LATE,0.41,6
LATE,0.31,11
LATE,0.41,2
LATE,0.37,2
LATE,0.44,3
LATE,0.69,2
LATE,0.26,1
LATE,0.31,0
LATE,0.63,1
LATE,0.61,16
LATE,0.67,12
LATE,0.82,1
LATE,0.85,1
LATE,0.85,0
LATE,1,2
LATE,0.96,0
LATE,0.17,2
LATE,0.41,6
LATE,0.11,3
LATE,0.22,1
LATE,0.31,0
LATE,0.58,9
LATE,0.43,8
LATE,0.53,7
LATE,0.75,1
LATE,0.19,0
LATE,0.24,5
LATE,0.67,8
HALI,0.45,0
HALI,0.68,0
HALI,0.41,16
HALI,0.31,8
HALI,0.41,0
HALI,0.37,0
HALI,0.44,0
HALI,0.69,0
HALI,0.26,1
HALI,0.31,4
HALI,0.63,0
HALI,0.61,12
HALI,0.67,1
HALI,0.82,1
HALI,0.85,0
HALI,0.85,0
HALI,1,0
HALI,0.96,0
HALI,0.98,0
HALI,0.99,0
HALI,0.71,1
HALI,0.96,0
HALI,0.91,0
HALI,0.8,0
HALI,0.9,0
HALI,0.84,0
HALI,0.85,0
HALI,0.87,0
HALI,0.17,3
HALI,0.41,11
HALI,0.11,6
HALI,0.22,41
HALI,0.31,5
HALI,0.58,1
HALI,0.43,1
HALI,0.53,1
HALI,0.75,0
HALI,0.19,2
HALI,0.24,4
HALI,0.67,30
BOIM,0.45,0
BOIM,0.68,0
BOIM,0.41,0
BOIM,0.31,1
BOIM,0.41,0
BOIM,0.37,1
BOIM,0.44,0
BOIM,0.69,0
BOIM,0.26,3
BOIM,0.31,0
BOIM,0.63,1
BOIM,0.61,0
BOIM,0.67,2
BOIM,0.82,3
BOIM,0.85,0
BOIM,0.85,0
BOIM,1,0
BOIM,0.96,0
BOIM,0.98,0
BOIM,0.99,0
BOIM,0.71,1
BOIM,0.96,1
BOIM,0.91,0
BOIM,0.8,0
BOIM,0.9,1
BOIM,0.84,0
BOIM,0.85,0
BOIM,0.87,0
BOIM,0.17,0
BOIM,0.41,1
BOIM,0.11,1
BOIM,0.22,0
BOIM,0.31,4
BOIM,0.58,0
BOIM,0.43,2
BOIM,0.53,2
BOIM,0.75,1
BOIM,0.19,0
BOIM,0.24,1
BOIM,0.67,2
COIN,0.45,0
COIN,0.68,1
COIN,0.41,0
COIN,0.31,0
COIN,0.41,0
COIN,0.37,0
COIN,0.44,0
COIN,0.69,0
COIN,0.26,1
COIN,0.31,0
COIN,0.63,0
COIN,0.61,0
COIN,0.67,0
COIN,0.82,0
COIN,0.85,1
COIN,0.85,0
COIN,1,1
COIN,0.96,2
COIN,0.98,0
COIN,0.99,1
COIN,0.71,0
COIN,0.96,0
COIN,0.91,5
COIN,0.8,3
COIN,0.9,0
COIN,0.84,0
COIN,0.85,2
COIN,0.87,0
COIN,0.17,0
COIN,0.41,0
COIN,0.11,0
COIN,0.22,0
COIN,0.31,0
COIN,0.58,0
COIN,0.43,0
COIN,0.53,0
COIN,0.75,1
COIN,0.19,0
COIN,0.24,1
COIN,0.67,0
OSPU,0.45,1
OSPU,0.68,0
OSPU,0.41,8
OSPU,0.31,9
OSPU,0.41,2
OSPU,0.37,8
OSPU,0.44,2
OSPU,0.69,0
OSPU,0.26,2
OSPU,0.31,1
OSPU,0.63,1
OSPU,0.61,3
OSPU,0.67,6
OSPU,0.82,0
OSPU,0.85,0
OSPU,0.85,0
OSPU,1,0
OSPU,0.96,1
OSPU,0.98,1
OSPU,0.99,1
OSPU,0.71,2
OSPU,0.96,0
OSPU,0.91,8
OSPU,0.8,1
OSPU,0.9,2
OSPU,0.84,0
OSPU,0.85,0
OSPU,0.87,0
OSPU,0.17,0
OSPU,0.41,0
OSPU,0.11,0
OSPU,0.22,0
OSPU,0.31,1
OSPU,0.58,0
OSPU,0.43,0
OSPU,0.53,1
OSPU,0.75,0
OSPU,0.19,0
OSPU,0.24,1
OSPU,0.67,4
