year,mil.fish,fish.prev
1980,45481,NA
1981,69801,45481
1982,48191,69801
1983,50123,48191
1984,65685,50123
1985,56471,65685
1986,40001,56471
1987,25301,40001
1988,34744,25301
1989,17349,34744
1990,18942,17349
1991,23621,18942
1992,21070,23621
1993,16650,21070
1994,20390,16650
1995,15294,20390
1996,13500,15294
1997,10942,13500
1998,13539,10942
1999,13417,13539
2000,8102,13417
2001,10803,8102
2002,16173,10803
2003,14775,16173
2004,11465,14775
2005,17993,11465
2006,15206,17993
2007,10427,15206
2008,13844,10427
2009,13213,13844
2010,11985,13213
2011,7841,11985
