Tree_sp,charcoal,Dwmass,TreatCombo
Birch,xcharB,0.427,Birch.xcharB
Birch,xcharB,0.108,Birch.xcharB
Birch,xcharB,0.231,Birch.xcharB
Birch,xcharB,0.019,Birch.xcharB
Birch,xcharB,0.49,Birch.xcharB
Birch,control,0.006,Birch.control
Birch,control,0.011,Birch.control
Birch,control,0.018,Birch.control
Birch,control,0.014,Birch.control
Birch,control,0.013,Birch.control
Pine,xcharB,0.123,Pine.xcharB
Pine,xcharB,0.098,Pine.xcharB
Pine,xcharB,0.144,Pine.xcharB
Pine,xcharB,0.109,Pine.xcharB
Pine,xcharB,0.105,Pine.xcharB
Pine,control,0.082,Pine.control
Pine,control,0.116,Pine.control
Pine,control,0.103,Pine.control
Pine,control,0.104,Pine.control
Pine,control,0.101,Pine.control
