year,phil_shadow,temp_mean
1898,TRUE,26.7
1900,TRUE,24.1
1901,TRUE,18.9
1903,TRUE,28
1904,TRUE,19.2
1905,TRUE,18.1
1906,TRUE,25.3
1907,TRUE,20.1
1908,TRUE,22.1
1909,TRUE,32.9
1910,TRUE,23.8
1911,TRUE,28.5
1912,TRUE,21.1
1913,TRUE,25
1914,TRUE,18.7
1915,TRUE,30.6
1916,TRUE,22.8
1917,TRUE,23
1918,TRUE,25.7
1919,TRUE,29.6
1920,TRUE,23
1921,TRUE,30
1922,TRUE,30.1
1923,TRUE,22.1
1924,TRUE,23.9
1925,TRUE,32.8
1926,TRUE,25.8
1927,TRUE,32
1928,TRUE,27.3
1929,TRUE,24.7
1930,TRUE,32.2
1931,TRUE,29
1932,TRUE,32.6
1933,TRUE,28.4
1934,FALSE,15.2
1935,TRUE,25.8
1936,TRUE,18.3
1937,TRUE,28.5
1938,TRUE,31.4
1939,TRUE,30.2
1940,TRUE,26.3
1941,TRUE,23.6
1942,TRUE,23.2
1944,TRUE,27.5
1945,TRUE,27.1
1946,TRUE,27.4
1947,TRUE,21.7
1948,TRUE,25.6
1949,TRUE,32.9
1950,FALSE,27.4
1951,TRUE,28.9
1952,TRUE,30.6
1953,TRUE,31.8
1954,TRUE,33.6
1955,TRUE,27.3
1956,TRUE,29.8
1957,TRUE,31.4
1958,TRUE,20.4
1959,TRUE,27
1960,TRUE,28.6
1961,TRUE,28.9
1962,TRUE,25.4
1963,TRUE,18.4
1964,TRUE,23.6
1965,TRUE,26.2
1966,TRUE,26.5
1967,TRUE,22.6
1968,TRUE,22.3
1969,TRUE,26.7
1970,FALSE,25.3
1971,TRUE,27.5
1972,TRUE,23.2
1973,TRUE,25.5
1974,TRUE,26.2
1975,FALSE,28.8
1976,TRUE,33.5
1977,TRUE,26.1
1978,TRUE,17.2
1979,TRUE,16.4
1980,TRUE,23
1981,TRUE,30.7
1982,TRUE,26.9
1983,FALSE,29.8
1984,TRUE,33.8
1985,TRUE,27.1
1986,FALSE,26.7
1987,TRUE,26.8
1988,FALSE,26.8
1989,TRUE,27.1
1990,FALSE,33.9
1991,TRUE,32.4
1992,TRUE,30.9
1993,TRUE,23.5
1994,TRUE,24.1
1995,FALSE,23.9
1996,TRUE,27
1997,FALSE,33
1998,TRUE,35.8
1999,FALSE,31.7
2000,TRUE,31.6
2001,TRUE,31.5
2002,TRUE,33.9
2003,TRUE,23.8
2004,TRUE,27
2005,TRUE,30.1
2006,TRUE,29.8
2007,FALSE,20.1
2008,TRUE,27.7
2009,TRUE,29.6
2010,TRUE,25.8
2011,FALSE,28.6
2012,TRUE,34.3
2013,FALSE,27.4
2014,TRUE,22.8
2015,TRUE,16.1
2016,FALSE,30.8
