site,year,seedlings.0,seeds.m1,seeds.m2,seeds.m3,seeds.m4
1,2005,14,500,550,750,640
1,2006,41,590,500,550,750
1,2007,16,660,590,500,550
1,2008,25,600,660,590,500
1,2009,70,670,600,660,590
1,2010,25,560,670,600,660
2,2005,25,600,640,570,540
2,2006,21,380,600,640,570
2,2007,64,570,380,600,640
2,2008,23,430,570,380,600
2,2009,19,670,430,570,380
2,2010,67,670,670,430,570
4,2005,2,230,230,200,200
4,2006,4,330,230,230,200
4,2007,1,260,330,230,230
4,2008,0,80,260,330,230
4,2009,2,200,80,260,330
4,2010,3,130,200,80,260
